Date	        Open	High	Low	Close	Volume
11/11/2013	47.04	47.53	45.73	46.2	80910000
11/8/2013	47.81	48.65	47.25	47.53	70731000
11/7/2013	49.24	49.87	47.3	47.56	97128000
11/6/2013	50.26	50.45	48.71	49.12	67889000
11/5/2013	47.79	50.18	47.51	50.11	76835000
11/4/2013	49.37	49.75	48.02	48.22	80371000
11/1/2013	50.85	52.09	49.72	49.75	95033000
10/31/2013	47.16	52	46.5	50.21	248809000
10/30/2013	50	50.21	48.75	49.01	127073000
10/29/2013	50.73	50.79	49.25	49.4	102143000
10/28/2013	51.54	51.7	49.61	50.23	73472000
10/25/2013	53.18	53.24	51.88	51.95	45085000
10/24/2013	52.38	52.84	51.59	52.45	46775000
10/23/2013	51.75	52.25	51.13	51.9	57207000
10/22/2013	54.33	54.76	52.2	52.68	83204000
10/21/2013	54.68	54.81	53.51	53.85	58235000
10/18/2013	54.18	54.83	53.6	54.22	88260000
10/17/2013	51.12	52.22	50.95	52.21	71522000
10/16/2013	50.04	51.24	49.9	51.14	64678000
10/15/2013	49.99	51	49.18	49.5	81167000
10/14/2013	48.31	49.63	47.91	49.51	68781000
10/11/2013	49.18	49.87	48.79	49.11	58428000
10/10/2013	47.87	49.68	47.83	49.05	99774000
10/9/2013	47.38	47.84	45.26	46.77	147297000
10/8/2013	50.6	50.6	47.08	47.14	136081000
10/7/2013	50.73	51.29	50.4	50.52	57204000
10/4/2013	49.77	51.16	49.57	51.04	74447000
10/3/2013	50.47	50.72	49.06	49.18	82045000
10/2/2013	50.13	51.1	49.95	50.28	62834000
10/1/2013	49.97	51.03	49.45	50.42	98114000
9/30/2013	50.14	51.6	49.8	50.23	100095000
9/27/2013	50.29	51.28	49.86	51.24	81410500
9/26/2013	50.01	50.6	49.5	50.39	98220100
9/25/2013	49.23	49.54	48.46	49.46	87879700
9/24/2013	48.51	49.66	48.16	48.45	136716100
9/23/2013	47.28	47.55	46.29	47.19	75177000
9/20/2013	46.32	47.6	45.74	47.49	115508400
9/19/2013	45.51	46.05	45.23	45.98	63972400
9/18/2013	44.84	45.47	44.4	45.23	79317000
9/17/2013	42.5	45.44	42.43	45.07	91934600
9/16/2013	44.85	44.94	42.43	42.51	70424200
9/13/2013	45.04	45.08	43.93	44.31	52765300
9/12/2013	45.53	45.62	44.65	44.75	68072300
9/11/2013	43.39	45.09	43.11	45.04	72328300
9/10/2013	44.24	44.26	43.23	43.6	54540300
9/9/2013	44.36	44.79	43.7	44.04	75794700
9/6/2013	43.09	44.61	42.4	43.95	117535700
9/5/2013	41.79	42.77	41.77	42.66	50035400
9/4/2013	42.01	42.17	41.44	41.78	42581900
9/3/2013	41.84	42.16	41.51	41.87	48774900
8/30/2013	42.02	42.26	41.06	41.29	67735100
8/29/2013	40.89	41.78	40.8	41.28	58303400
8/28/2013	39.96	40.85	39.88	40.55	57918200
8/27/2013	40.68	41.2	39.42	39.64	72695100
8/26/2013	40.9	41.94	40.62	41.34	94162400
8/23/2013	39	40.63	38.93	40.55	86442300
8/22/2013	38.37	38.75	38.34	38.55	21931200
8/21/2013	38.38	38.85	38.15	38.32	46116900
